user,Location,price,size,type
1,Magarpatta City,60966,2BHK,Furnished
2,Mundhwa,145968,3BHK,Unfurnished
3,Hadapsar,65744,2BHK,Unfurnished
4,Hadapsar,39214,3BHK,Furnished
5,Amanora Park Town,84538,1BHK,Semifurnished
6,Amanora Park Town,81117,2BHK,Semifurnished
7,Hadapsar,59452,3BHK,Semifurnished
8,Mundhwa,91071,4BHK,Unfurnished
9,Mundhwa,115615,4BHK,Unfurnished
10,Mundhwa,24583,4BHK,Furnished
11,Amanora Park Town,75174,3BHK,Semifurnished
12,Magarpatta City,126096,4BHK,Semifurnished
13,Magarpatta City,50274,4BHK,Semifurnished
14,Hadapsar,58680,4BHK,Semifurnished
15,Magarpatta City,52933,3BHK,Semifurnished
16,Mundhwa,24394,1BHK,Furnished
17,Amanora Park Town,127540,3BHK,Furnished
18,Magarpatta City,76472,2BHK,Semifurnished
19,Mundhwa,98436,1BHK,Unfurnished
20,Magarpatta City,142814,4BHK,Semifurnished
21,Mundhwa,50753,4BHK,Furnished
22,Hadapsar,87101,1BHK,Unfurnished
23,Mundhwa,64459,4BHK,Unfurnished
24,Amanora Park Town,77531,1BHK,Unfurnished
25,Amanora Park Town,118992,4BHK,Semifurnished
26,Mundhwa,91283,2BHK,Unfurnished
27,Hadapsar,21191,2BHK,Semifurnished
28,Mundhwa,12546,3BHK,Semifurnished
29,Hadapsar,17451,1BHK,Furnished
30,Hadapsar,79990,1BHK,Semifurnished
